driverId,fastestLapTime,year
830,01:11.0,2017
31,01:11.5,2004
8,01:11.6,2004
22,01:11.7,2004
23,01:11.8,2004
30,01:11.8,2004
1,01:11.8,2017
11,01:11.9,2004
21,01:11.9,2004
840,01:11.9,2017
817,01:12.0,2017
4,01:12.1,2004
13,01:12.1,2004
35,01:12.2,2004
30,01:12.2,2006
8,01:12.3,2005
15,01:12.4,2004
8,01:12.4,2007
14,01:12.5,2004
1,01:12.5,2007
8,01:12.5,2017
20,01:12.5,2017
822,01:12.5,2017
31,01:12.6,2005
13,01:12.6,2007
4,01:12.7,2005
9,01:12.7,2007
30,01:12.8,2005
32,01:12.9,2004
13,01:12.9,2006
41,01:13.0,2004
4,01:13.0,2006
18,01:13.1,2006
21,01:13.1,2006
6,01:13.1,2007
815,01:13.1,2017
17,01:13.2,2004
21,01:13.2,2005
22,01:13.2,2005
3,01:13.2,2007
4,01:13.2,2007
8,01:13.3,2006
842,01:13.3,2017
11,01:13.4,2006
22,01:13.4,2006
29,01:13.4,2006
15,01:13.4,2007
23,01:13.4,2007
2,01:13.5,2007
4,01:13.5,2017
13,01:13.5,2017
154,01:13.5,2017
15,01:13.6,2005
17,01:13.6,2005
24,01:13.6,2007
1,01:13.6,2014
3,01:13.6,2014
832,01:13.6,2017
18,01:13.7,2005
23,01:13.7,2005
24,01:13.7,2006
38,01:13.7,2006
13,01:13.7,2008
17,01:13.7,2009
807,01:13.7,2014
828,01:13.7,2017
32,01:13.8,2005
37,01:13.8,2006
807,01:13.8,2017
10,01:13.9,2004
26,01:13.9,2006
20,01:13.9,2009
1,01:13.9,2010
4,01:13.9,2010
18,01:13.9,2010
18,01:14.0,2007
22,01:14.0,2009
17,01:14.0,2010
18,01:14.0,2014
20,01:14.0,2014
35,01:14.1,2005
9,01:14.1,2006
8,01:14.1,2008
10,01:14.1,2008
13,01:14.1,2014
154,01:14.1,2014
826,01:14.1,2014
2,01:14.2,2006
14,01:14.2,2007
1,01:14.2,2008
4,01:14.2,2008
5,01:14.2,2008
15,01:14.2,2008
20,01:14.2,2008
9,01:14.2,2009
3,01:14.2,2010
822,01:14.2,2014
13,01:14.3,2005
19,01:14.3,2007
1,01:14.3,2009
5,01:14.3,2009
20,01:14.3,2010
4,01:14.3,2014
11,01:14.4,2005
33,01:14.4,2006
17,01:14.4,2007
20,01:14.4,2007
9,01:14.4,2008
3,01:14.4,2009
18,01:14.4,2009
825,01:14.5,2014
27,01:14.6,2006
8,01:14.6,2009
67,01:14.6,2009
815,01:14.6,2014
47,01:14.7,2004
22,01:14.7,2007
2,01:14.7,2008
155,01:14.7,2009
155,01:14.7,2010
843,01:14.7,2017
46,01:14.8,2004
18,01:14.8,2008
154,01:14.8,2009
16,01:14.8,2014
813,01:14.8,2014
818,01:14.8,2014
1,01:14.8,2015
836,01:14.8,2017
39,01:14.9,2005
15,01:14.9,2006
5,01:14.9,2007
11,01:14.9,2007
3,01:14.9,2008
21,01:14.9,2009
153,01:14.9,2009
821,01:14.9,2014
7,01:15.0,2008
17,01:15.0,2008
2,01:15.0,2009
24,01:15.0,2009
16,01:15.0,2010
807,01:15.0,2010
8,01:15.0,2014
3,01:15.0,2015
20,01:15.0,2015
33,01:15.1,2005
6,01:15.1,2009
2,01:15.1,2010
16,01:15.2,2007
21,01:15.2,2008
9,01:15.2,2010
22,01:15.2,2010
30,01:15.2,2010
13,01:15.3,2010
17,01:15.3,2011
22,01:15.4,2008
17,01:15.4,2013
817,01:15.4,2014
8,01:15.4,2015
27,01:15.5,2005
808,01:15.5,2010
4,01:15.5,2013
18,01:15.6,2011
20,01:15.6,2013
153,01:15.7,2010
13,01:15.7,2015
154,01:15.7,2015
38,01:15.8,2005
16,01:15.8,2008
828,01:15.8,2015
2,01:15.9,2004
6,01:15.9,2008
67,01:15.9,2010
14,01:16.0,2006
16,01:16.0,2013
815,01:16.0,2015
822,01:16.0,2015
830,01:16.0,2015
20,01:16.1,2011
4,01:16.2,2011
815,01:16.2,2013
18,01:16.3,2015
817,01:16.3,2015
3,01:16.4,2013
813,01:16.4,2015
13,01:16.5,2013
18,01:16.5,2013
821,01:16.5,2013
4,01:16.5,2015
826,01:16.5,2015
22,01:16.7,2011
30,01:16.7,2011
1,01:16.7,2013
23,01:16.8,2006
810,01:16.8,2010
807,01:16.8,2013
818,01:16.8,2013
822,01:16.8,2013
807,01:16.8,2015
831,01:16.8,2015
24,01:16.9,2010
814,01:16.9,2013
808,01:17.0,2011
817,01:17.0,2013
5,01:17.2,2010
1,01:17.2,2011
3,01:17.2,2011
16,01:17.2,2011
153,01:17.2,2011
5,01:17.2,2013
15,01:17.3,2010
13,01:17.3,2011
820,01:17.3,2013
67,01:17.4,2011
814,01:17.5,2011
155,01:17.6,2011
813,01:17.6,2013
823,01:17.6,2013
10,01:17.7,2010
32,01:17.7,2010
811,01:17.7,2010
824,01:17.7,2013
815,01:17.8,2011
5,01:18.0,2011
1,01:18.1,2012
18,01:18.1,2012
807,01:18.2,2012
811,01:18.3,2011
819,01:18.4,2013
15,01:18.6,2011
4,01:18.6,2012
834,01:18.6,2015
13,01:18.9,2012
17,01:18.9,2012
155,01:19.0,2012
818,01:19.0,2012
20,01:19.1,2012
829,01:19.1,2015
5,01:19.3,2012
814,01:19.3,2012
817,01:19.3,2012
8,01:19.4,2012
817,01:19.6,2011
813,01:19.7,2011
10,01:19.7,2012
816,01:19.9,2011
30,01:20.2,2012
3,01:20.3,2012
819,01:20.3,2012
808,01:20.5,2012
24,01:20.6,2011
154,01:20.9,2013
37,01:21.1,2012
39,01:21.5,2012
10,01:21.8,2011
154,01:22.2,2012
18,01:24.4,2004
830,01:25.3,2016
817,01:25.5,2016
1,01:25.6,2016
822,01:26.1,2016
3,01:26.2,2016
20,01:26.2,2016
825,01:26.5,2016
807,01:26.7,2016
13,01:26.8,2016
18,01:27.0,2016
4,01:27.1,2016
815,01:27.1,2016
832,01:27.2,2016
826,01:27.5,2016
831,01:27.5,2016
821,01:27.8,2016
839,01:27.8,2016
836,01:27.9,2016
8,01:28.8,2016
828,01:31.3,2016
835,01:34.3,2016
29,01:50.4,2007
21,02:02.7,2007
